mechanism_cluster,region,condition,n_candidates,n_cells,holdout_pass_fraction,mean_weighted_ppc_coverage,perturbation_robust_fraction,perturbation_vm_feature_pass_fraction,hidden_flux_plausible_fraction,biological_description_score,buffering_phenotype_labels,step05_evidence_status,validation_label,step06_screen_claim,final_biological_degeneracy_claim_allowed,degeneracy_claim_allowed,claim_scope_after_step06
M2,DH,CONTROL,4,4,1.0,0.7857142857142857,1.0,0.8559027777777778,1.0,0.9283234126984127,kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M2,DH,MFA,1,1,1.0,0.7469135802469135,1.0,0.8058449074074074,1.0,0.9105516975308643,kir_dominant_local_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M2,DH,MFA_BA,2,2,1.0,0.664523319615912,1.0,0.81640625,1.0,0.8961859139231823,available_surface_voltage_coupled_but_ionic_recruitment_low;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M2,VH,MFA,5,5,1.0,0.5277777777777778,0.9916666666666667,0.6114583333333333,1.0,0.8261805555555555,available_surface_voltage_coupled_but_ionic_recruitment_low;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M2,VH,MFA_BA,6,6,1.0,0.5806248425296044,1.0,0.7061149691358025,1.0,0.8573479623330815,available_surface_voltage_coupled_but_ionic_recruitment_low;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M3,DH,CONTROL,3,3,1.0,0.7857142857142857,1.0,0.8253279320987654,1.0,0.9222084435626101,available_surface_voltage_coupled_but_ionic_recruitment_low;kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M3,DH,MFA,2,2,1.0,0.7469135802469135,1.0,0.8407118055555557,1.0,0.9175250771604938,available_surface_voltage_coupled_but_ionic_recruitment_low;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M3,DH,MFA_BA,4,4,1.0,0.664523319615912,1.0,0.7745225694444445,1.0,0.8878091778120712,low_recruitment_local_storage;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M3,VH,MFA,1,1,1.0,0.5277777777777778,1.0,0.6221064814814814,1.0,0.8299768518518519,available_surface_voltage_coupled_but_ionic_recruitment_low,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
M3,VH,MFA_BA,1,1,1.0,0.5806248425296044,1.0,0.6901041666666666,1.0,0.8541458018392543,available_surface_voltage_coupled_but_ionic_recruitment_low,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass
