file_id,region,condition,candidate_id,mechanism_cluster,buffering_phenotype,validation_label,blocking_axes,restricted_degeneracy_claim_allowed,degeneracy_level,allowed_wording
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,M2,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_12,M2,kir_dominant_local_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__cand_10,M2,kir_dominant_local_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__cand_01,M2,kir_dominant_local_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__cand_06,M3,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__cand_27,M3,kir_dominant_local_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__cand_18,M3,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__cand_14,M3,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_2_MFA,DH,MFA,DH_2_MFA__cand_03,M3,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__cand_01,M2,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_3_MFA,DH,MFA,DH_3_MFA__cand_10,M2,kir_dominant_local_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_3_MFA_BA,DH,MFA_BA,DH_3_MFA_BA__cand_01,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_4_MFA_BA,DH,MFA_BA,DH_4_MFA_BA__cand_20,M3,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_5_MFA_BA,DH,MFA_BA,DH_5_MFA_BA__cand_08,M3,low_recruitment_local_storage,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_6_MFA,DH,MFA,DH_6_MFA__cand_01,M3,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_16,M3,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_1_MFA,VH,MFA,VH_1_MFA__cand_16,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_01,M2,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_2_MFA,VH,MFA,VH_2_MFA__cand_10,M3,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_15,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_41,M2,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_4_MFA,VH,MFA,VH_4_MFA__cand_08,M2,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_10,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_5_MFA,VH,MFA,VH_5_MFA__cand_12,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__cand_19,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_6_MFA,VH,MFA,VH_6_MFA__cand_09,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_6_MFA_BA,VH,MFA_BA,VH_6_MFA_BA__cand_01,M3,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_7_OG_MFA,VH,MFA,VH_7_OG_MFA__cand_13,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
VH_7_OG_MFA_BA,VH,MFA_BA,VH_7_OG_MFA_BA__cand_15,M2,mixed_local_spatial_buffering,predictive_supported,assumptions;parameter_step08;parameter_semantics,False,predictive_model_regime_blocked_by_other_gates,predictive model-derived regime with blocked biological-degeneracy wording
