reviewer_id,impact_rank,source_step,notebook,cell_reference,artifact,artifact_exists,usefulness_rationale
R1,1,Step 03,analysis/03_combined_identifiability_profiles_fim.ipynb,Effective parameter map / profile summary cells,outputs/identifiability/profile_summary.csv,True,Separates structural non-identifiability from stronger degeneracy language.
R1,2,Step 05,analysis/05_mechanistic_decomposition.ipynb,Legacy mechanism/function mapping cells,outputs/legacy_mechanisms/legacy_mechanistic_function_mapping.csv,True,Shows FV-to-FK mechanistic mapping for top legacy Optuna configurations.
R1,3,Step 09,analysis/09_reviewer_response_synthesis.ipynb,Claim maturity and degeneracy value cells,outputs/reviewer_synthesis/degeneracy_scientific_value_statement.csv,True,States what remains before biological degeneracy can be claimed.
R2,1,Step 02,analysis/02_rebuild_atf_thresholds.ipynb,Feature table and region-condition threshold cells,outputs/features/feature_table_by_sweep.csv,True,Primary ATF-derived kinetic data and independent cell/sweep accounting.
R2,2,Step 02,analysis/02_rebuild_atf_thresholds.ipynb,Second-layer regional perturbation cells,outputs/features/experimental_second_layer/matched_sweep_delta_of_delta.csv,True,Quantifies DH/VH response differences under MFA and MFA+BA.
R3,1,Step 07,analysis/07_assumption_sensitivity.ipynb,Assumption gate cells,outputs/assumption_sensitivity/claim_scope_table.csv,True,Documents model-dependence and assumption-sensitive claims.
R3,2,Step 08,analysis/08_parameter_plausibility_and_constrained_reruns.ipynb,Parameter semantics cells,outputs/parameter_plausibility/parameter_semantics_audit.csv,True,Prevents reduced-model proxies from being overinterpreted anatomically.
R4,1,Step 08,analysis/08_parameter_plausibility_and_constrained_reruns.ipynb,Interpretability status cells,outputs/parameter_plausibility/interpretability_status.csv,True,Audits direct physiology versus effective-coordinate interpretation.
R4,2,Step 01,analysis/01_postfit_sqlite_pipeline.ipynb,Legacy top-N configuration library cells,outputs/postfit_sqlite/legacy_configuration_library.csv,True,Provides top legacy Optuna parameter library and source status.
R5,1,Step 05,analysis/05_mechanistic_decomposition.ipynb,Legacy sigmoid/K_o EF category cells,outputs/legacy_mechanisms/legacy_mechanism_categories.csv,True,Defines open/partial/closed and temporal recruitment categories.
R5,2,Step 06,analysis/06_predictive_validation_and_perturbation.ipynb,Biological perturbation layer cells,outputs/legacy_perturbation/biological_parameter_direction_summary.csv,True,Tests how mechanistic classes respond to MFA-like and MFA+BA-like perturbations.
R5,3,Step 06,analysis/06_predictive_validation_and_perturbation.ipynb,Sigmoid transition visualization cells,outputs/legacy_perturbation/sigmoid_state_change_summary.csv,True,Shows whether perturbations change the sigmoid state category.
R6,1,Step 06,analysis/06_predictive_validation_and_perturbation.ipynb,Held-out prediction and robustness cells,outputs/predictive_validation/robustness_summary.csv,True,Primary conservative prediction/perturbation support table.
R6,2,Step 06,analysis/06_predictive_validation_and_perturbation.ipynb,Experimental direction matching cells,outputs/legacy_perturbation/experimental_direction_match_summary.csv,True,Compares simulated kinetic directions against ATF perturbation targets.
R7,1,Step 09,analysis/09_reviewer_response_synthesis.ipynb,Manifest and traceability cells,outputs/reviewer_synthesis/manuscript_asset_manifest.csv,True,Lists reviewer-facing artifacts and missing/pending assets.
R7,2,Step 09,analysis/09_reviewer_response_synthesis.ipynb,Reviewer remark link ledger cells,outputs/reviewer_synthesis/reviewer_remark_artifact_links.csv,True,Provides ordered links from each reviewer remark to the most useful generated artifacts.
